title,ingredients,instructions,total_time,yields,site,image
Gnocchi Piccata,,"['Squeeze juice from 1 lemon half into a small bowl. Thinly slice remaining 1 lemon half; remove seeds and discard. Set juice and slices aside separately.', 'Heat 2 Tbsp. extra-virgin olive oil in a large skillet over medium-high. Cook one 17.5-oz. package shelf-stable potato gnocchi, stirring occasionally, until browned in spots, about 5 minutes. Transfer to a plate.', 'Add 8 garlic cloves, thinly sliced, ⅓ cup coarsely chopped drained capers, and remaining 2 Tbsp. extra-virgin olive oil to same skillet and cook, stirring often, until garlic is softened and fragrant, 2–3 minutes. Increase heat to high, add 2 cups dry white wine, and bring to a simmer. Cook, stirring often, until wine is reduced by about three quarters, 7–10 minutes. Add 2 cups low-sodium vegetable or chicken broth and 6 Tbsp. unsalted butter; cook, stirring often, until sauce is reduced by about half, 6–8 minutes.', 'Return gnocchi to pan and add reserved lemon juice and slices; cook, stirring often, until gnocchi are coated, tender, and heated through, 2–3 minutes. Remove pan from heat and stir in ¼ cup finely chopped parsley; season with freshly ground pepper.']",25,4 servings,www.bonappetit.com,"https://assets.bonappetit.com/photos/687e7ef1cee4bda245f55552/16:9/w_4992,h_2808,c_limit/gnocchi-piccata_RECIPE_V3_061225_12688_VOG_final.jpg"
Creamy Fondue Beans,,"['Using your hands, toss together 12 oz. Gruyère, coarsely grated, and 2 tsp. cornstarch in a large bowl until cheese is evenly coated. Set aside.', 'Heat 1 Tbsp. unsalted butter in a small Dutch oven or large saucepan over medium heat. Cook 5 garlic cloves, finely chopped, stirring occasionally, until softened and just starting to turn golden, about 2 minutes. Add 1 cup dry white wine, bring to a gentle simmer, and cook until reduced by about one quarter, about 5 minutes. Reduce heat to medium-low and add reserved cheese mixture a handful at a time, mixing with a whisk after each addition until mostly melted before adding more; mix until combined and smooth. Mix in 1 Tbsp. Dijon mustard, 1 dash (generous) Worcestershire sauce, and a pinch of freshly grated nutmeg; season with freshly ground pepper.', 'Add two 15.5-oz. cans cannellini (white kidney) beans, rinsed, to pot and carefully mix into sauce with a heatproof rubber spatula. Cook until beans are fully warmed through, about 5 minutes. (Sauce should have the texture of Alfredo. If it’s too thick, add 1 Tbsp. water at a time, stirring between additions until fully emulsified. If sauce looks separated, keep mixing over medium-low heat until it turns smooth.)', 'Serve fondue beans over toast topped with slice cornichons and seasoned with more pepper.']",25,4 servings,www.bonappetit.com,"https://assets.bonappetit.com/photos/693af5c6dac44262dcb57319/16:9/w_4161,h_2340,c_limit/creamy-fondue-beans_LEDE_V2_121025_3720_VOG_final.jpg"
Smothered Italian Sausage,,"['In a Dutch oven, heat ¼ cup (60 ml) extra-virgin olive oil over high heat until it shimmers. Add 8 sweet Italian sausage links (2½ lb./1.1 kg), cover, and cook until browned, 5–6 minutes. Flip and cook the other side.', 'Stir in the 3 red bell peppers, sliced, 2 medium red onions, sliced, and 5 garlic cloves, sliced, cover, and cook, stirring occasionally, until soft and fragrant, 5–6 minutes.', 'Add 1 bunch broccolini (2 cups/200 g), ends trimmed and cut into 1"" pieces, and 2 bunches spinach (4 oz./115 g total), stir, cover, and cook, 3–4 minutes. Stir in crushed red pepper flakes and one 28-oz./794-g can crushed tomatoes. Stir in 1 bunch fresh basil (1½ oz./45 g), leaves picked and one 12-oz./355-ml jar mild banana peppers, undrained, with their liquid. Cover and cook 10 minutes, stirring occasionally.', 'Season with kosher salt and freshly ground pepper to taste. Finish with a drizzle of olive oil, if desired. Serve immediately.']",35,4 servings,www.bonappetit.com,"https://assets.bonappetit.com/photos/69371f32c58202fa6dec9ce9/16:9/w_3728,h_2097,c_limit/smothered%20italian%20sausage.jpg"
Asian Pear Salad With Crispy Shallots,,"['Heat ⅓ cup vegetable oil in a small saucepan over medium-high. Cook 2 large shallots, thinly sliced, stirring occasionally, until golden brown and crisp, 7–9 minutes. Pour through a fine-mesh sieve set over a small bowl. Remove sieve from bowl and sprinkle shallots with a big pinch of kosher salt; toss to coat. Set fried shallots aside. Let oil cool slightly, then measure out ¼ cup shallot oil.', 'Whisk ¼ cup white wine vinegar, 2 Tbsp. Dijon mustard, and 1 Tbsp. honey in a large bowl to combine. Gradually stream in ¼ cup shallot oil, whisking constantly until emulsified. Season dressing with salt and freshly ground pepper.', 'Add 4 Asian pears, cored, cut into 3x½"" sticks, to dressing and toss to coat. Add 1 Fresno chile, very thinly sliced, 1 cup (packed) cilantro leaves with tender stems and mint leaves, and most of reserved fried shallots and toss to combine. Top salad with more cilantro and mint and remaining fried shallots.']",25,8 servings,www.bonappetit.com,"https://assets.bonappetit.com/photos/68e4252dc3be7c9d34235e44/16:9/w_4000,h_2250,c_limit/recipe4.jpg"
Feta and Sun-Dried Tomato Dip,,"['Blend 2 garlic cloves, finely grated, 1 cup (packed) drained oil-packed sun-dried tomatoes (about 8 oz.), and 1 Tbsp. Calabrian chile paste in a food processor until smooth. Add 7 oz. feta, crumbled, and ⅔ cup plain whole-milk yogurt and blend until combined and smooth. Transfer to a small bowl and serve with crudités and crackers for dipping. Do Ahead: Dip can be made 2 days ahead. Cover and chill.']",10,2 cups,www.bonappetit.com,"https://assets.bonappetit.com/photos/68e4252d19b8627d09d919a4/16:9/w_3816,h_2146,c_limit/recipe2.jpg"
Smoky Brown-Butter Pasta,,"['Cook 12 oz. spaghetti in a large pot of boiling generously salted water, stirring occasionally, until al dente. Drain, reserving 2 cups pasta cooking liquid, and set aside.', 'Cook ½ cup (1 stick) unsalted butter in same pot over medium-high heat, stirring and scraping bottom often to prevent burning, until it foams, then browns and is very fragrant, about 4 minutes. Quickly stir in 2 garlic cloves, thinly sliced, and 2 Tbsp. smoked paprika, then immediately add reserved pasta and ½ cup pasta cooking liquid. Cook, stirring and adding more pasta cooking liquid as needed, until a loose, glossy sauce forms, 2–3 minutes. Taste and season with salt and freshly ground pepper.', 'Divide pasta among shallow bowls and top with chopped salted roasted almonds and parsley if desired.']",20,4 servings,www.bonappetit.com,"https://assets.bonappetit.com/photos/68c07b79cdf965e8ccfe1f18/16:9/w_4000,h_2250,c_limit/20250701_1025_01_ITS_Smoky%20Brown%20Butter%20Pasta_049_FINAL.jpg"
Shrimp Salad,,"['Fill a large pot with water; season generously with kosher salt. Halve 2 lemons and squeeze their juice into pot; add spent lemons. Bring water to a boil.', 'Remove pot from heat and immediately add 1 lb. large shrimp, peeled, deveined. Let sit until bright pink, 1–2 minutes, then drain. Transfer shrimp to a large bowl of ice water and let cool. Drain and pat dry.', 'Coarsely chop shrimp and place in a clean large bowl. Add 2–3 celery stalks, finely chopped, ½ small red onion, finely chopped, ⅔ cup mayonnaise, ¼ cup thinly sliced chives, 1 Tbsp. Old Bay seasoning, and ½ tsp. Diamond Crystal or ¼ tsp. Morton kosher salt; season with freshly ground pepper. Stir shrimp salad to combine.', 'Heat 3 Tbsp. extra-virgin olive oil in a large skillet over medium-high. Working in 2 batches, toast 4 thick slices country-style bread, turning halfway through, until golden brown and crisp, about 3 minutes per batch. Transfer toasts to plates and rub with cut sides of 2 garlic cloves, halved. Pile shrimp salad on toasts; sprinkle with Old Bay and chives and season with more pepper.']",30,4 servings,www.bonappetit.com,"https://assets.bonappetit.com/photos/687e8356c1ef14d727ab4879/16:9/w_4992,h_2808,c_limit/shrimp-salad-toast_RECIPE_V3_061225_12640_VOG_final.jpg"
Sweet and Spicy Zucchini,,"['Whisk 1 Tbsp. Calabrian chile paste, 1 Tbsp. preserved lemon paste or finely chopped preserved lemon, 2 tsp. pure maple syrup, and 2 Tbsp. extra-virgin olive oil in a medium bowl to combine. Set dressing aside.', 'Pour remaining 3 Tbsp. extra-virgin olive oil into a large cast-iron skillet. Working in 2 batches if needed, arrange 1½ lb. slender zucchini (about 3 medium), ends trimmed, cut into ¾""-thick rounds, cut sides down, in a single layer in skillet. Place over medium-high heat and cook, undisturbed, until deep golden brown underneath, 7–9 minutes (be careful as oil will spatter). Turn and cook until golden brown on other side, about 5 minutes. Transfer to bowl with reserved dressing and toss to coat; season with kosher salt. Arrange on a platter; top with mixed tender herb leaves with tender stems (such as parsley and/or basil).']",20,4 servings,www.bonappetit.com,"https://assets.bonappetit.com/photos/68894fe652635749bbf03dbd/16:9/w_4000,h_2250,c_limit/20250618_0925_SAMIN%20NOSRAT%20RECIPES_03_Sweet%20and%20Spicy%20Zucchini_043_FINAL_RECIPE.jpg"
Zaru Soba (Cold Buckwheat Noodles),,"['Bring 3 Tbsp. mirin (sweet Japanese rice wine), 3 Tbsp. soy sauce, 1 Tbsp. instant dashi powder (such as Hondashi), and 3 cups water to a boil in a small saucepan. Reduce heat so mixture is at a simmer and cook until flavors come together, about 4 minutes. Let mentsuyu cool, then transfer to an airtight container. Cover and chill until ready to use.', 'Meanwhile, cook 6 oz. dried soba noodles (about 2 bundles) in a medium pot of boiling water according to package instructions (about 4 minutes is typically just right). Drain in a colander, then rinse under cold running water, taking care to remove any residual starch. Let sit 5 minutes.', 'Divide noodles between 2 bowls. Ladle chilled mentsuyu into 2 smaller bowls and add an ice cube or two for an extra refreshing broth. Serve noodles topped with finely grated daikon, thinly sliced scallions, shredded toasted nori, and/or wasabi if desired. Dip a small amount of noodles in mentsuyu at a time, adding more ice cubes as you go as needed.']",25,2 servings,www.bonappetit.com,"https://assets.bonappetit.com/photos/6838c300149f31eac682dc5b/16:9/w_3973,h_2235,c_limit/zaru-soba_RECIPE_V6_050825_12229_VOG_final.jpg"
Boozy Cherry and Chocolate Pavlova,,"['Place a rack in middle of oven; preheat to 300°. Beat 6 large egg whites, 1¾ cups (350 g) sugar, 2 tsp. Diamond Crystal or 1¼ tsp. Morton kosher salt, and ¼ tsp. cream of tartar in the bowl of a stand mixer fitted with the whisk attachment on medium-low speed until egg whites are foamy and sugar is partially dissolved, about 5 minutes.', 'Increase speed to medium and continue to beat, scraping down sides of bowl halfway through, until sugar is dissolved, medium-stiff peaks have formed, and meringue is opaque, shiny, and thick, 12–15 minutes (rub a small amount of meringue between 2 fingers; it should feel fairly smooth with only a few tiny grains of sugar if any).', 'Stir together 1 Tbsp. plus 1 tsp. cornstarch and 1 Tbsp. distilled white vinegar in a small bowl until dissolved. Add 1 (heaping) Tbsp. meringue and stir to combine. Pour into bowl with remaining meringue and fold with a rubber spatula until incorporated.', 'Scrape meringue onto a parchment-lined rimmed baking sheet. Using a small offset spatula, spread meringue into a 10x8"" rectangle, about 1½"" thick. Smooth top of rectangle flat. Using a rubber spatula, pull meringue upward in short strokes along all 4 sides to create grooves in the meringue. Dab small dollops of leftover meringue under each corner of parchment to help adhere it to baking sheet.', 'Bake meringue 15 minutes, then reduce oven temperature to 275° and continue to bake until top of meringue feels crisp and dry to the touch and edge of meringue lifts easily from parchment paper, 70–80 minutes more. Let cool. Do Ahead: Meringue can be made 4 hours ahead. Store, uncovered, at room temperature.', 'Cook juice of 1 large lemon, 2 lb. frozen cherries, preferably a mix of sweet and tart, 1½ cups (300 g) sugar, ½ cup red wine vinegar, and ¼ cup brandy in a large saucepan over medium heat until cherries are thawed, 8–10 minutes. Using a slotted spoon, transfer cherries to a medium bowl. Bring syrup to a boil and cook, stirring occasionally, until reduced by half, 12–15 minutes. Let syrup cool slightly, then pour over cherries and let cool completely. Do Ahead: Cherries can be cooked 2 days ahead. Cover and chill.', 'Bring ⅔ cup heavy cream to a boil in a small saucepan over medium heat. Remove from heat, add 4 oz. bittersweet chocolate (70% cacao), chopped, and ½ tsp. Diamond Crystal or ¼ tsp. Morton kosher salt and whisk until smooth and glossy. Scrape ganache into a small bowl and let cool. Do Ahead: Ganache can be made 2 days ahead. Cover and chill.', 'Using an electric mixer on medium speed, beat 2 cups heavy cream, 2 tsp. vanilla bean paste or vanilla extract, and 1 tsp. Diamond Crystal or ½ tsp. Morton kosher salt in a large bowl until soft peaks form, about 2 minutes (alternatively, vigorously whisk by hand).', 'Drain cherries (reserving syrup for another use). Carefully transfer meringue to a platter. Drizzle half of ganache over meringue. Spoon whipped cream over, piling high. Drizzle remaining ganache over whipped cream. Scatter cherries over cream. Using a vegetable peeler, shave chocolate into curls from 1 thick bar (at least 6.35 oz.) bittersweet chocolate (about 70% cacao) on top if desired']",60,8 servings,www.bonappetit.com,"https://assets.bonappetit.com/photos/68dbf7bcb517a261c588c282/16:9/w_4992,h_2808,c_limit/black-forest-pavlova_RECIPE_V1_092525_2165_VOG_Badge_final.jpg"
